"parameter","var_sq_ID","var_resid","icc"
"min_freq_mean",142852.974906836,162652.386841771,0.467595639203171
"break_s",2.12154798981955e-05,3.60686098580451e-05,0.370355538308685
"note_rate",36.9627509285217,69.0795475773318,0.348566104746224
"entropy_mean",0.000855022366319316,0.0027462550270091,0.237421968078131
"quart_25_mean",501734.289765824,1672391.69351912,0.230775168331202
"peak_freq_mean",1587242.94799088,6042078.68425543,0.208045095553737
"bandw_mean",889058.588554812,3525155.82188677,0.201408111588733
"energy",4.76819016858963e-12,2.4785111864699e-11,0.161342044392156
"quart_50_mean",621315.724389401,3497987.68786977,0.150830289058181
"rms",7.61260809312625,50.2380142957042,0.131590772558327
"peak_ampl_mean",5.57375554361024,47.5097893763815,0.104999685910409
"call_duration",1.31997789233343,12.5855824713762,0.0949244660271493
"disttomax",1.79104623745523e-06,1.73840789206073e-05,0.0934046699925789
"no_notes",5111.92940383103,51593.5251615536,0.0901488127202415
"peaktopeak",0.000560809329470145,0.00616782104744582,0.0833467285399008
"max_freq_mean",313841.693825414,3452859.68348743,0.0833200358583531
"quart_75_mean",115315.784772952,2081061.84931509,0.0525027130959802
"duration",1.58466325884583e-06,8.42042218125039e-05,0.0184716616555615
